<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2022.08.17	11:00:28.795	134.869	134.869			6
2022.08.17	11:00:28.893	134.870	134.870			6
2022.08.17	11:00:29.094	134.871	134.871			6
2022.08.17	11:00:29.194	134.870	134.870			6
2022.08.17	11:00:29.301	134.868	134.868			6
2022.08.17	11:00:29.401	134.867	134.867			6
2022.08.17	11:00:29.530	134.864	134.864			6
2022.08.17	11:00:29.652	134.865	134.865			6
2022.08.17	11:00:29.744	134.863	134.863			6
2022.08.17	11:00:29.846	134.864	134.864			6
2022.08.17	11:00:30.147	134.863	134.863			6
2022.08.17	11:00:30.277	134.858	134.858			6
2022.08.17	11:00:30.381	134.860	134.860			6
2022.08.17	11:00:30.507	134.859	134.859			6
2022.08.17	11:00:30.601	134.858	134.858			6
2022.08.17	11:00:30.807	134.855	134.855			6
2022.08.17	11:00:31.002	134.854	134.854			6
2022.08.17	11:00:31.348	134.855	134.855			6
2022.08.17	11:00:31.954	134.853	134.853			6
2022.08.17	11:00:32.411	134.854	134.854			6
2022.08.17	11:00:32.506	134.853	134.853			6
2022.08.17	11:00:33.053	134.854	134.854			6
2022.08.17	11:00:34.002	134.853	134.853			6
2022.08.17	11:00:34.117	134.854	134.854			6
2022.08.17	11:00:34.313	134.853	134.853			6
2022.08.17	11:00:34.412	134.852	134.852			6
2022.08.17	11:00:34.523	134.850	134.850			6
2022.08.17	11:00:34.757	134.849	134.849			6
2022.08.17	11:00:34.867	134.848	134.848			6
2022.08.17	11:00:35.062	134.849	134.849			6
2022.08.17	11:00:35.361	134.850	134.850			6
2022.08.17	11:00:35.619	134.849	134.849			6
2022.08.17	11:00:35.722	134.846	134.846			6
2022.08.17	11:00:35.924	134.845	134.845			6
2022.08.17	11:00:36.023	134.846	134.846			6
2022.08.17	11:00:36.123	134.844	134.844			6
2022.08.17	11:00:36.225	134.846	134.846			6
2022.08.17	11:00:36.390	134.845	134.845			6
2022.08.17	11:00:36.481	134.847	134.847			6
2022.08.17	11:00:36.577	134.848	134.848			6
2022.08.17	11:00:36.679	134.849	134.849			6
2022.08.17	11:00:36.880	134.851	134.851			6
2022.08.17	11:00:37.080	134.850	134.850			6
2022.08.17	11:00:37.198	134.851	134.851			6
2022.08.17	11:00:37.323	134.850	134.850			6
2022.08.17	11:00:37.424	134.851	134.851			6
2022.08.17	11:00:37.730	134.849	134.849			6
2022.08.17	11:00:37.931	134.850	134.850			6
2022.08.17	11:00:38.286	134.851	134.851			6
2022.08.17	11:00:38.408	134.850	134.850			6
2022.08.17	11:00:38.506	134.852	134.852			6
2022.08.17	11:00:38.706	134.853	134.853			6
2022.08.17	11:00:38.802	134.850	134.850			6
2022.08.17	11:00:38.904	134.852	134.852			6
2022.08.17	11:00:39.135	134.851	134.851			6
2022.08.17	11:00:39.241	134.853	134.853			6
2022.08.17	11:00:39.531	134.852	134.852			6
2022.08.17	11:00:39.636	134.853	134.853			6
2022.08.17	11:00:39.760	134.851	134.851			6
2022.08.17	11:00:40.088	134.852	134.852			6
2022.08.17	11:00:40.288	134.851	134.851			6
2022.08.17	11:00:40.385	134.852	134.852			6
2022.08.17	11:00:41.042	134.851	134.851			6
2022.08.17	11:00:41.135	134.852	134.852			6
2022.08.17	11:00:41.242	134.853	134.853			6
2022.08.17	11:00:41.342	134.852	134.852			6
2022.08.17	11:00:41.469	134.853	134.853			6
2022.08.17	11:00:41.594	134.852	134.852			6
2022.08.17	11:00:41.701	134.853	134.853			6
2022.08.17	11:00:41.900	134.852	134.852			6
2022.08.17	11:00:42.000	134.851	134.851			6
2022.08.17	11:00:42.104	134.848	134.848			6
2022.08.17	11:00:42.202	134.847	134.847			6
2022.08.17	11:00:42.326	134.846	134.846			6
2022.08.17	11:00:42.441	134.847	134.847			6
2022.08.17	11:00:42.544	134.846	134.846			6
2022.08.17	11:00:43.183	134.847	134.847			6
2022.08.17	11:00:43.400	134.846	134.846			6
2022.08.17	11:00:43.810	134.845	134.845			6
2022.08.17	11:00:43.909	134.846	134.846			6
