<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.17	01:34:00	0.63440	0.63441	0.63430	0.63432	14	0	13
2022.08.17	01:35:00	0.63432	0.63442	0.63432	0.63442	11	0	11
2022.08.17	01:36:00	0.63443	0.63444	0.63442	0.63442	10	0	12
2022.08.17	01:37:00	0.63442	0.63446	0.63442	0.63443	16	0	10
2022.08.17	01:38:00	0.63445	0.63446	0.63444	0.63444	13	0	8
2022.08.17	01:39:00	0.63444	0.63445	0.63439	0.63439	15	0	9
2022.08.17	01:40:00	0.63443	0.63450	0.63438	0.63447	12	0	9
2022.08.17	01:41:00	0.63447	0.63447	0.63446	0.63447	3	0	13
2022.08.17	01:42:00	0.63447	0.63447	0.63444	0.63447	3	0	13
2022.08.17	01:43:00	0.63447	0.63450	0.63444	0.63447	9	0	11
2022.08.17	01:44:00	0.63448	0.63448	0.63439	0.63441	8	0	12
2022.08.17	01:45:00	0.63437	0.63439	0.63436	0.63437	8	0	11
2022.08.17	01:46:00	0.63437	0.63441	0.63437	0.63441	2	0	13
2022.08.17	01:47:00	0.63441	0.63441	0.63441	0.63441	1	0	14
2022.08.17	01:48:00	0.63441	0.63441	0.63441	0.63441	1	0	14
2022.08.17	01:49:00	0.63441	0.63441	0.63440	0.63441	3	0	14
2022.08.17	01:50:00	0.63441	0.63441	0.63438	0.63441	7	0	14
2022.08.17	01:51:00	0.63441	0.63442	0.63432	0.63442	9	0	13
2022.08.17	01:52:00	0.63441	0.63446	0.63441	0.63446	4	0	9
2022.08.17	01:53:00	0.63445	0.63445	0.63441	0.63445	7	0	10
2022.08.17	01:54:00	0.63431	0.63431	0.63431	0.63431	1	0	39
2022.08.17	01:56:00	0.63429	0.63429	0.63428	0.63428	2	0	39
2022.08.17	01:57:00	0.63439	0.63441	0.63438	0.63441	5	0	8
2022.08.17	01:58:00	0.63441	0.63451	0.63438	0.63447	20	0	1
2022.08.17	01:59:00	0.63448	0.63452	0.63444	0.63451	22	0	5
2022.08.17	02:00:00	0.63451	0.63451	0.63447	0.63447	8	0	7
2022.08.17	02:01:00	0.63447	0.63451	0.63447	0.63450	13	0	4
2022.08.17	02:02:00	0.63448	0.63466	0.63448	0.63464	26	0	6
2022.08.17	02:03:00	0.63464	0.63465	0.63457	0.63459	8	0	5
2022.08.17	02:04:00	0.63459	0.63459	0.63459	0.63459	1	0	8
2022.08.17	02:05:00	0.63459	0.63460	0.63459	0.63459	5	0	6
2022.08.17	02:06:00	0.63459	0.63459	0.63452	0.63454	6	0	4
2022.08.17	02:07:00	0.63454	0.63454	0.63453	0.63454	5	0	6
2022.08.17	02:08:00	0.63453	0.63454	0.63450	0.63451	4	0	4
2022.08.17	02:09:00	0.63452	0.63474	0.63451	0.63474	26	0	0
2022.08.17	02:10:00	0.63474	0.63488	0.63460	0.63468	23	0	6
2022.08.17	02:11:00	0.63468	0.63471	0.63468	0.63469	7	0	7
2022.08.17	02:12:00	0.63469	0.63471	0.63460	0.63461	13	0	6
2022.08.17	02:13:00	0.63462	0.63470	0.63461	0.63469	27	0	6
2022.08.17	02:14:00	0.63469	0.63472	0.63464	0.63464	10	0	6
2022.08.17	02:15:00	0.63464	0.63465	0.63459	0.63463	11	0	7
2022.08.17	02:16:00	0.63463	0.63464	0.63463	0.63464	2	0	7
2022.08.17	02:17:00	0.63464	0.63465	0.63463	0.63465	8	0	7
2022.08.17	02:18:00	0.63465	0.63468	0.63453	0.63456	27	0	4
2022.08.17	02:19:00	0.63457	0.63468	0.63457	0.63466	28	0	4
2022.08.17	02:20:00	0.63465	0.63465	0.63454	0.63455	13	0	5
2022.08.17	02:21:00	0.63454	0.63454	0.63447	0.63449	6	0	7
2022.08.17	02:22:00	0.63449	0.63452	0.63444	0.63449	8	0	6
2022.08.17	02:23:00	0.63449	0.63450	0.63447	0.63449	7	0	8
2022.08.17	02:24:00	0.63452	0.63454	0.63452	0.63454	2	0	9
2022.08.17	02:25:00	0.63454	0.63458	0.63453	0.63453	5	0	7
2022.08.17	02:26:00	0.63453	0.63453	0.63445	0.63449	12	0	6
2022.08.17	02:27:00	0.63449	0.63449	0.63440	0.63444	7	0	7
2022.08.17	02:28:00	0.63444	0.63444	0.63437	0.63440	13	0	6
2022.08.17	02:29:00	0.63440	0.63440	0.63422	0.63423	11	0	4
2022.08.17	02:30:00	0.63425	0.63430	0.63425	0.63428	11	0	7
2022.08.17	02:31:00	0.63428	0.63430	0.63428	0.63430	3	0	9
2022.08.17	02:32:00	0.63430	0.63433	0.63430	0.63433	4	0	6
2022.08.17	02:33:00	0.63433	0.63435	0.63433	0.63433	9	0	7
2022.08.17	02:34:00	0.63433	0.63445	0.63433	0.63445	13	0	6
2022.08.17	02:35:00	0.63445	0.63445	0.63440	0.63440	3	0	7
2022.08.17	02:36:00	0.63440	0.63440	0.63440	0.63440	1	0	9
2022.08.17	02:37:00	0.63440	0.63450	0.63440	0.63450	6	0	7
2022.08.17	02:38:00	0.63450	0.63450	0.63445	0.63445	5	0	1
2022.08.17	02:39:00	0.63443	0.63447	0.63443	0.63443	6	0	7
2022.08.17	02:40:00	0.63443	0.63445	0.63443	0.63445	2	0	8
2022.08.17	02:41:00	0.63445	0.63448	0.63445	0.63445	4	0	7
2022.08.17	02:42:00	0.63443	0.63443	0.63430	0.63430	5	0	7
2022.08.17	02:43:00	0.63430	0.63434	0.63425	0.63429	12	0	7
2022.08.17	02:44:00	0.63429	0.63435	0.63429	0.63434	12	0	7
2022.08.17	02:45:00	0.63434	0.63434	0.63427	0.63432	8	0	8
2022.08.17	02:46:00	0.63432	0.63444	0.63432	0.63444	19	0	7
2022.08.17	02:47:00	0.63444	0.63454	0.63444	0.63444	10	0	5
2022.08.17	02:48:00	0.63444	0.63444	0.63439	0.63439	2	0	7
2022.08.17	02:49:00	0.63439	0.63439	0.63438	0.63439	3	0	4
2022.08.17	02:50:00	0.63439	0.63448	0.63434	0.63448	12	0	7
2022.08.17	02:51:00	0.63448	0.63450	0.63448	0.63448	13	0	5
2022.08.17	02:52:00	0.63448	0.63448	0.63445	0.63445	3	0	6
2022.08.17	02:53:00	0.63445	0.63445	0.63440	0.63440	3	0	8
2022.08.17	02:54:00	0.63440	0.63453	0.63440	0.63450	10	0	6
2022.08.17	02:55:00	0.63450	0.63454	0.63448	0.63453	15	0	6
2022.08.17	02:56:00	0.63453	0.63463	0.63439	0.63442	29	0	0
2022.08.17	02:57:00	0.63442	0.63442	0.63422	0.63423	19	0	7
2022.08.17	02:58:00	0.63422	0.63429	0.63417	0.63419	31	0	6
2022.08.17	02:59:00	0.63420	0.63425	0.63412	0.63412	27	0	7
2022.08.17	03:00:00	0.63413	0.63427	0.63413	0.63413	49	0	7
2022.08.17	03:01:00	0.63412	0.63412	0.63393	0.63398	47	0	7
2022.08.17	03:02:00	0.63398	0.63410	0.63397	0.63409	44	0	7
2022.08.17	03:03:00	0.63408	0.63409	0.63393	0.63398	42	0	6
2022.08.17	03:04:00	0.63398	0.63408	0.63392	0.63408	35	0	7
2022.08.17	03:05:00	0.63407	0.63408	0.63393	0.63393	33	0	4
2022.08.17	03:06:00	0.63394	0.63414	0.63393	0.63408	57	0	4
2022.08.17	03:07:00	0.63408	0.63418	0.63406	0.63414	38	0	7
2022.08.17	03:08:00	0.63414	0.63414	0.63403	0.63411	36	0	7
2022.08.17	03:09:00	0.63413	0.63423	0.63413	0.63417	23	0	7
2022.08.17	03:10:00	0.63414	0.63418	0.63411	0.63413	27	0	8
2022.08.17	03:11:00	0.63413	0.63417	0.63397	0.63401	30	0	6
2022.08.17	03:12:00	0.63402	0.63418	0.63401	0.63413	40	0	6
2022.08.17	03:13:00	0.63413	0.63418	0.63410	0.63413	27	0	7
2022.08.17	03:14:00	0.63414	0.63424	0.63413	0.63423	40	0	8
2022.08.17	03:15:00	0.63424	0.63437	0.63421	0.63429	47	0	8
2022.08.17	03:16:00	0.63430	0.63435	0.63428	0.63434	18	0	8
2022.08.17	03:17:00	0.63435	0.63437	0.63423	0.63426	14	0	6
2022.08.17	03:18:00	0.63425	0.63427	0.63422	0.63427	14	0	8
2022.08.17	03:19:00	0.63427	0.63432	0.63427	0.63429	7	0	8
2022.08.17	03:20:00	0.63429	0.63435	0.63422	0.63422	7	0	6
2022.08.17	03:21:00	0.63422	0.63422	0.63412	0.63417	7	0	8
2022.08.17	03:22:00	0.63417	0.63417	0.63412	0.63412	3	0	7
2022.08.17	03:23:00	0.63412	0.63427	0.63412	0.63422	7	0	8
2022.08.17	03:24:00	0.63422	0.63427	0.63422	0.63427	2	0	8
2022.08.17	03:25:00	0.63427	0.63427	0.63412	0.63412	10	0	8
2022.08.17	03:26:00	0.63412	0.63417	0.63408	0.63408	10	0	7
2022.08.17	03:27:00	0.63408	0.63413	0.63406	0.63406	13	0	5
2022.08.17	03:28:00	0.63401	0.63402	0.63382	0.63383	16	0	6
2022.08.17	03:29:00	0.63383	0.63387	0.63377	0.63378	11	0	7
2022.08.17	03:30:00	0.63378	0.63378	0.63371	0.63372	23	0	6
