<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.17	00:54:00	0.94959	0.94974	0.94957	0.94957	4	0	62
2022.08.17	00:55:00	0.95010	0.95010	0.94951	0.94975	15	0	62
2022.08.17	00:56:00	0.94978	0.95011	0.94975	0.95011	5	0	62
2022.08.17	00:57:00	0.94885	0.94885	0.94885	0.94885	1	0	226
2022.08.17	01:00:00	0.94955	0.94956	0.94950	0.94956	9	0	17
2022.08.17	01:01:00	0.94940	0.94956	0.94938	0.94954	8	0	17
2022.08.17	01:02:00	0.94954	0.94954	0.94951	0.94953	9	0	17
2022.08.17	01:03:00	0.94953	0.94958	0.94948	0.94957	30	0	17
2022.08.17	01:04:00	0.94957	0.94958	0.94955	0.94957	20	0	17
2022.08.17	01:05:00	0.94956	0.94961	0.94955	0.94958	26	0	17
2022.08.17	01:06:00	0.94958	0.94959	0.94955	0.94956	13	0	17
2022.08.17	01:07:00	0.94956	0.94958	0.94946	0.94946	14	0	17
2022.08.17	01:08:00	0.94956	0.94958	0.94946	0.94947	22	0	17
2022.08.17	01:09:00	0.94949	0.94957	0.94949	0.94957	42	0	17
2022.08.17	01:10:00	0.94957	0.94957	0.94948	0.94957	26	0	16
2022.08.17	01:11:00	0.94956	0.94959	0.94956	0.94958	15	0	17
2022.08.17	01:12:00	0.94958	0.94959	0.94955	0.94958	25	0	17
2022.08.17	01:13:00	0.94957	0.94958	0.94955	0.94957	21	0	17
2022.08.17	01:14:00	0.94957	0.94958	0.94948	0.94955	24	0	17
2022.08.17	01:15:00	0.94945	0.94946	0.94928	0.94941	39	0	31
2022.08.17	01:16:00	0.94941	0.94944	0.94929	0.94931	39	0	31
2022.08.17	01:17:00	0.94931	0.94942	0.94928	0.94942	36	0	27
2022.08.17	01:18:00	0.94942	0.94942	0.94939	0.94940	22	0	33
2022.08.17	01:19:00	0.94940	0.94940	0.94935	0.94936	25	0	29
2022.08.17	01:20:00	0.94936	0.94945	0.94935	0.94942	13	0	18
2022.08.17	01:21:00	0.94942	0.94947	0.94942	0.94944	7	0	14
2022.08.17	01:22:00	0.94944	0.94945	0.94944	0.94945	2	0	15
2022.08.17	01:23:00	0.94944	0.94944	0.94936	0.94939	7	0	12
2022.08.17	01:24:00	0.94941	0.94944	0.94936	0.94936	19	0	13
2022.08.17	01:25:00	0.94936	0.94940	0.94936	0.94937	9	0	19
2022.08.17	01:26:00	0.94937	0.94939	0.94936	0.94936	11	0	20
2022.08.17	01:27:00	0.94937	0.94937	0.94934	0.94937	10	0	20
2022.08.17	01:28:00	0.94937	0.94937	0.94932	0.94933	6	0	19
2022.08.17	01:29:00	0.94933	0.94937	0.94933	0.94935	14	0	17
2022.08.17	01:30:00	0.94935	0.94937	0.94932	0.94936	18	0	18
2022.08.17	01:31:00	0.94937	0.94938	0.94933	0.94938	9	0	17
2022.08.17	01:32:00	0.94940	0.94945	0.94940	0.94940	15	0	14
2022.08.17	01:33:00	0.94940	0.94944	0.94939	0.94944	13	0	13
2022.08.17	01:34:00	0.94945	0.94948	0.94944	0.94946	11	0	13
2022.08.17	01:35:00	0.94946	0.94946	0.94942	0.94942	10	0	13
2022.08.17	01:36:00	0.94942	0.94944	0.94940	0.94944	20	0	14
2022.08.17	01:37:00	0.94944	0.94946	0.94944	0.94944	5	0	13
2022.08.17	01:38:00	0.94943	0.94944	0.94942	0.94943	4	0	13
2022.08.17	01:39:00	0.94943	0.94944	0.94942	0.94942	6	0	13
2022.08.17	01:40:00	0.94942	0.94948	0.94942	0.94948	6	0	12
2022.08.17	01:41:00	0.94945	0.94950	0.94941	0.94946	17	0	8
2022.08.17	01:42:00	0.94946	0.94947	0.94942	0.94946	13	0	13
2022.08.17	01:43:00	0.94946	0.94948	0.94944	0.94948	12	0	16
2022.08.17	01:44:00	0.94947	0.94948	0.94944	0.94945	23	0	17
2022.08.17	01:45:00	0.94945	0.94949	0.94944	0.94948	30	0	18
2022.08.17	01:46:00	0.94948	0.94969	0.94946	0.94963	38	0	14
2022.08.17	01:47:00	0.94962	0.94966	0.94959	0.94962	56	0	18
2022.08.17	01:48:00	0.94960	0.94964	0.94960	0.94962	42	0	19
2022.08.17	01:49:00	0.94962	0.94962	0.94959	0.94962	40	0	20
2022.08.17	01:50:00	0.94962	0.94966	0.94959	0.94960	57	0	16
2022.08.17	01:51:00	0.94960	0.94962	0.94958	0.94961	30	0	17
2022.08.17	01:52:00	0.94961	0.94963	0.94958	0.94961	25	0	13
2022.08.17	01:53:00	0.94960	0.94961	0.94958	0.94959	14	0	13
2022.08.17	01:54:00	0.94960	0.94962	0.94958	0.94960	25	0	15
2022.08.17	01:55:00	0.94959	0.94960	0.94959	0.94959	25	0	16
2022.08.17	01:56:00	0.94959	0.94963	0.94958	0.94960	14	0	13
2022.08.17	01:57:00	0.94960	0.94964	0.94960	0.94962	31	0	12
2022.08.17	01:58:00	0.94962	0.94963	0.94960	0.94961	12	0	13
2022.08.17	01:59:00	0.94961	0.94964	0.94959	0.94960	33	0	8
2022.08.17	02:00:00	0.94959	0.94972	0.94947	0.94949	84	0	7
2022.08.17	02:01:00	0.94948	0.94949	0.94943	0.94948	52	0	7
2022.08.17	02:02:00	0.94947	0.94950	0.94944	0.94946	65	0	6
2022.08.17	02:03:00	0.94951	0.94952	0.94948	0.94952	9	0	7
2022.08.17	02:04:00	0.94952	0.94958	0.94949	0.94955	33	0	7
2022.08.17	02:05:00	0.94957	0.94958	0.94955	0.94958	71	0	7
2022.08.17	02:06:00	0.94957	0.94964	0.94957	0.94961	110	0	7
2022.08.17	02:07:00	0.94962	0.94963	0.94960	0.94960	78	0	7
2022.08.17	02:08:00	0.94961	0.94961	0.94953	0.94956	82	0	7
2022.08.17	02:09:00	0.94956	0.94956	0.94944	0.94946	96	0	7
2022.08.17	02:10:00	0.94944	0.94949	0.94944	0.94947	83	0	7
2022.08.17	02:11:00	0.94948	0.94948	0.94946	0.94947	30	0	7
2022.08.17	02:12:00	0.94947	0.94952	0.94944	0.94949	19	0	7
2022.08.17	02:13:00	0.94951	0.94952	0.94947	0.94948	14	0	7
2022.08.17	02:14:00	0.94951	0.94951	0.94942	0.94944	35	0	7
2022.08.17	02:15:00	0.94944	0.94947	0.94942	0.94942	9	0	7
2022.08.17	02:16:00	0.94949	0.94950	0.94943	0.94945	25	0	7
2022.08.17	02:17:00	0.94944	0.94952	0.94944	0.94948	37	0	11
2022.08.17	02:18:00	0.94949	0.94952	0.94949	0.94949	9	0	11
2022.08.17	02:19:00	0.94949	0.94950	0.94948	0.94949	8	0	11
2022.08.17	02:20:00	0.94952	0.94954	0.94952	0.94954	3	0	11
2022.08.17	02:21:00	0.94954	0.94956	0.94953	0.94955	9	0	11
2022.08.17	02:22:00	0.94953	0.94954	0.94949	0.94954	31	0	11
2022.08.17	02:23:00	0.94954	0.94954	0.94949	0.94951	27	0	11
2022.08.17	02:24:00	0.94951	0.94951	0.94948	0.94948	3	0	12
2022.08.17	02:25:00	0.94948	0.94952	0.94948	0.94950	5	0	12
2022.08.17	02:26:00	0.94950	0.94952	0.94950	0.94952	2	0	12
2022.08.17	02:27:00	0.94952	0.94956	0.94949	0.94954	18	0	11
2022.08.17	02:28:00	0.94955	0.94964	0.94955	0.94962	12	0	7
2022.08.17	02:29:00	0.94961	0.94962	0.94961	0.94962	2	0	12
2022.08.17	02:30:00	0.94962	0.94964	0.94956	0.94956	21	0	7
2022.08.17	02:31:00	0.94956	0.94959	0.94954	0.94954	7	0	7
2022.08.17	02:32:00	0.94958	0.94961	0.94956	0.94959	13	0	7
2022.08.17	02:33:00	0.94961	0.94961	0.94956	0.94959	20	0	7
2022.08.17	02:34:00	0.94959	0.94961	0.94952	0.94956	10	0	7
2022.08.17	02:35:00	0.94956	0.94956	0.94954	0.94956	3	0	7
2022.08.17	02:36:00	0.94956	0.94958	0.94950	0.94958	10	0	7
2022.08.17	02:37:00	0.94953	0.94955	0.94953	0.94955	12	0	7
2022.08.17	02:38:00	0.94955	0.94957	0.94955	0.94957	4	0	7
2022.08.17	02:39:00	0.94954	0.94957	0.94954	0.94957	4	0	7
2022.08.17	02:40:00	0.94955	0.94957	0.94955	0.94955	6	0	11
